Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors
True Diamond,Retail Luxury Goods and Jewellery,Mumbai,$1 million,Seed,"Titan Capital, Huddle Ventures, Zeropearl Ventures, Ashutosh Valani, Priyank Shah, Aashka Goradia Goble, Ghazal Alagh, Abhishek Goyal, Anmol Jain"
NeoGrowth,Financial Services,Mumbai,$5 million,Conventional Debt,Symbiotics Group
Zepto,Quick Commerce,Mumbai,$350 million,Funding Round,"Motilal Oswal Private Wealth, Raamdeo Agarwal, Taparia Family Office, Mankind Pharma Family Office, Celebrity Investors, others"
Healthkart,Health Supplements,Gurugram,$153 million,Funding Round,"ChrysCapital, Motilal Oswal Alternates"
Zopper,Insurance Infrastructure API,Noida,$25 million,Series D,"Elevation Capital, Dharana Capital, Blume Ventures"
OneCell Diagnostics,Cancer Diagnostics,Pune,$16 million,Series A,"Celesta Capital, Tenacity Ventures, Cedars Sinai, Eragon, Singularity Ventures"
Vecmocon,EV Components,New Delhi,$10 million,Funding Round,"Ecosystem Integrity Fund (EIF), Blume Ventures, British International Investment (BII)"
Kratos Gamer Network,Web3 Gaming,Tortola,$10 million,Funding Round,"Aptos Labs, Polygon, Game7"
Blitz,Omnichannel Delivery Platform,Bengaluru,Rs 51 crore,Series A,IvyCap Ventures
Billion Hearts,Consumer Tech,New Delhi,$4 million,Funding Round,Blume Ventures
CredFlow,Fintech,New Delhi,$3.7 million,Pre-Series B,"Inflexor Ventures, Singapore-based family office"
Doodhvale Farms,Dairy,Sonepat,$3 million,Series A,"Atomic Capital, Singularity Early Opportunities Fund, Bharat Founders Fund, others"
Proost,Beer Startup,New Delhi,Rs 30 crore,Series A,"Chimes Group, Srinivasan Namala, Hyderabad Angels, The Chennai Angels, others"
Swish,10-minute Food Delivery,Bengaluru,$2 million,Maiden Funding Round,Accel
Indic Wisdom,Wood-Pressed Oils,Mumbai,$2 million,Pre-Series A,"Rockstud Capital, others"
PeLocal,Fintech,Chennai,$2 million,Seed Funding,Unicorn India Ventures
Theranautilus,Nanorobotics for Healthcare,Bengaluru,$1.2 million,Seed Funding,Pi Ventures
Taqtics,SaaS Platform,Bengaluru,$1.2 million,Seed Round,"Sprout Venture Partners, Capital-A, Java Capital"
Matrix Geo Solutions,Drone & Space Tech,New Delhi,~$1 million,Pre-IPO Round,"Chittorgarh Infotech Limited, Viney Equity Markets LLP, Tryrock Capital Trust AIF"
Startup Thamizha,Media,Chennai,Rs 3.3 crore,Funding Round,Mudhal Partners
CADRE ODR,Online Dispute Resolution,Bengaluru,"$200,000",Pre-Series A,"Aprameya Radhakrishna, Murali Subramanian, Ram Bhamidi, Aneesh Garg, Rahul Guptan"
UnifyApps,Enterprise AI Platform,Gurugram,$20 million,Series A,"ICONIQ Growth, Elevation Capital"
Bhanzu,Edtech,Hyderabad,$16.5 million (Rs 139 crore),Funding Round,Epiq Capital
Wheelocity,Semi-urban Commerce,Chennai,$15 million,Extended Series A,"Lightspeed, Alteria Capital, Anicut Capital, Company’s Founder"
The ePlane Company,Electric Aircraft,Chennai,$14 million,Series B,"Speciale Invest, Antares Ventures, Micelio Mobility, Naval Ravikant, Java Capital, others"
Equal,Data-sharing & Identity Verification,Hyderabad,$10 million,Series A,"Prosus Ventures, Tomales Bay Capital, Keshav Reddy"
Ennoventure,Brand Protection & Authentication,Bengaluru,$8.9 million,Series A,"Tanglin Venture Partners, Fenice Investment Group, SAFE Investors"
Ugaoo,Houseplants & Urban Gardening,Pune,Rs 47 crore ($5.6 million),Series A,"V3 Ventures, DSG Consumer Partners, RPG Ventures"
Funstop Games,Casual Gaming,Delhi,$5 million,Series A,"360 ONE Asset, InfoEdge Ventures"
Thesys,AI Software,Chennai,$4 million,Seed Funding,"Together Fund, 8vc"
BiteSpeed,AI-powered Customer OS for E-commerce,Bengaluru,$3.5 million,Pre-Series A,"Peak XV Surge, Whiteboard Capital, Gaurav Munjal, Aakash Anand, Dhruv Vohra, others"
Zeplyn,Wealth Management Software,New York (Mumbai),$3 million,Seed Funding,"Leo Capital, Converge, Angels and VC Funds"
Connecty AI,Enterprise AI Solutions,"San Francisco, United States",$1.8 million,Pre-seed Round,"Market One Capital, Notion Capital, Marcin Zukowski, Maciej Zawadzinski"
Airbound,Drone Technology,Mumbai,$1.7 million,Seed Round,"Lightspeed, gradCapital, Angel Investors"
India IVF,Tech-enabled Fertility Platform,Gurugram,$1.24 million,Pre-Series A,Tomorrow Capital
DesignX,Shopfloor Hyper-automation,Noida,$1 million,Pre-Series A,Piper Serica Angel Fund
Pikndel,Same-day Delivery Service,New Delhi,$1 million,Seed Round,"VC Grid, D2C Insider Angels, Breathe Capital, Venture Catalysts, industry leaders, family offices"
StampMyVisa,B2B Visa Platform,Mumbai,Rs 6.6 crore,Pre-Series A,Unicorn India Ventures
LegalKart,Legal Consultation,Gurugram,Rs 6.5 crore,Funding Round,"IIM Udaipur Incubation Centre, Aevitas Capital, Shift Alt Cap, others"
Creanovation Technologies Pvt. Ltd,Admissions as a Service,Gurugram,Rs 5 crore,Funding Round,Physis Capital
Easy Home Finance,Home Financing,Mumbai,$35 million,Fresh Funding Round,"Ranjan Pai’s family office, Claypond Capital, Sumitomo Mitsui Banking Corporation’s Asia Rising Fund"
Haldiram Bhujiawala,Snacks,Kolkata,Rs 235 crore,Minority Stake,"Bharat Value Fund (BVF), managed by Pantomath Capital Management"
EvoluteIQ,Tech Solutions,Bengaluru (Regstd Indian Office),$20 million,Equity and Debt Funding Round,"Round2 Capital, Nordea Growth Fund, Dcap Select, PH Ventures"
MODIFI,B2B BNPL,New Delhi,$15 million,New Funding Round,"SMBC Asia Rising Fund, Maersk, Intesa Sanpaolo, Heliad"
Boldfit,D2C Fitness & Supplements,Bengaluru,Rs 110 crore ($13 million),Fresh Funding Round,Bessemer Venture Partners
CynLr,Deep-tech Robotics,Bengaluru,$10 million,Series A,"Pavestone, Athera Venture Partners, Speciale Invest, Infoedge (Redstart), and other investors"
GalaxEye,Spacetech,Bengaluru,$10 million,Funding Participation,Mounttech Growth Fund
Marut Dronetech,Drone-tech,Hyderabad,$6.2 million,Series A,Lok Capital
Hala Mobility,EV-as-a-Service,Telangana,Rs 51 crore ($6 million),Pre-Series A,"Srikanth Reddy, Snehith Reddy, Phani Ramineni, Rohan Bajaj syndicate, Sarthy Angels, Bestvantage, HNIs"
The Hosteller,Backpacker Hostel,Mumbai,Rs 48 crore,Equity and Debt,"V3 Ventures, Blacksoil (Debt)"
CastNX,Deep-tech in Power Electronics,"Dewas, Madhya Pradesh",Rs 23.22 crore,Investment,"Arpit Khandelwal, Plutus Investments and Holding Private Limited"
Pulse,SaaS AI Platform,Chennai,$1.4 million,Seed Round,"Endiya Partners, Zluri founders, Yellow.ai founders, other angel investors"
Induz,Data Security,Hyderabad,"$780,000",New Funding Round,"YourNest Venture Capital, SanchiConnect"
30 Sundays,AI Travel Agent,Gurgaon,"$770,000",Pre-seed Round,"Infoedge Ventures, First Cheque, Eximius, Misfits, other angel investors"
Innovartan Learning Solutions,Edtech,Noida,Rs 5 crore,Pre-seed Funding,"Gokul Rajaram, Amit Singhal"
MOOEV Technologies,Electric Vehicles,Chennai,Rs 4 crore,Seed Funding,"Bizdateup, Inflection Point Ventures, Spectrum Impact (Aarti Industries Family Office)"
Heliware,3D Geospatial Platform,Kolkata,Rs 4 crore,Pre-Series A,"JITO Incubation and Innovation Foundation (JIIF), TiE, Vatvistaar Ventures"
Sushain Wellness,Healthtech,Lucknow,Rs 2 crore,Seed Round,Prajay Advisors LLP
Viraa Care,Healthtech,Chandigarh,"$108,000",Pre-seed Round,European angel investors
QubeHealth,Healthcare Payments,Mumbai,Undisclosed,Pre-Series-A,"Unicorn India Ventures, CanBank Venture Capital Fund"
Finova Capital,MSME-focused NBFC,Jaipur,$135 million,Series E,"Avataar Venture Partners﻿, Sofina﻿, Madison India Capital﻿, and Norwest Venture Partners"
Vridhi Home Finance,Housing finance company,Bengaluru,Rs 310 Cr,Series B,Norwest Venture Partners
Udaan,B2B platform,Bengaluru,Rs 300 Cr,Debt Financing,"Lighthouse Canton, Stride Ventures and others"
Zinc,Edu-wealth,Bengaluru,$25.5 million,Seed funding,"Nexus Venture Partners, Quona Capital, EDBI, Global Ventures, and Saison Capital"
Country Delight,D2C,Gurugram,Rs 200 Cr,Debt Financing,Alteria Capital
Arya.ag,Grain Commerce,Noida,$19.8 million,Financing Round,US International Development Finance Corporation
ARYA,GPS Renewables',Bengaluru,Rs 100 Cr,Mezzanine financing,"Incred, Spark Capital"
Avaana Capital,Climate & Sustainability Tech,Mumbai,$135 million,New Fund,Fundraising for climate and sustainability tech startups
Upgrad,Edtech,Mumbai,$60 million,Additional Investment,Temasek
Neysa,AI Cloud,Mumbai,$30 million,Series A,"NTTVC, Z47 (formerly Matrix Partners India), Nexus Venture Partners"
